Smiles,Class,Value_type,Relation,Activity,Unit,Assay_type,Assay_id
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,1,IC50,=,32.2,nM,F,CHEMBL691014
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,1,IC50,=,5950.0,nM,F,CHEMBL691013
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,IC50,=,143.0,nM,F,CHEMBL691014
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,1,IC50,=,196.0,nM,F,CHEMBL877203
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1,IC50,=,173.0,nM,F,CHEMBL691014
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1,IC50,=,14.0,nM,F,CHEMBL691014
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,1,IC50,=,4.4,nM,F,CHEMBL822598
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,1,IC50,=,152.0,nM,F,CHEMBL822598
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0,IC50,=,74000.0,nM,F,CHEMBL749472
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1,IC50,=,1430.0,nM,F,CHEMBL656375
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0,IC50,=,100000.0,nM,F,CHEMBL691014
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0,IC50,=,129000.0,nM,F,CHEMBL662305
CN(C)CCC=C1c2ccccc2CCc2ccccc21,0,IC50,=,10000.0,nM,F,CHEMBL822598
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0,IC50,=,130000.0,nM,F,CHEMBL662305
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1,IC50,=,550.0,nM,F,CHEMBL656604
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1,IC50,=,15.0,nM,F,CHEMBL691014
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,0,IC50,=,104000.0,nM,F,CHEMBL662305
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1,IC50,=,0.9,nM,F,CHEMBL691013
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1,IC50,=,28.1,nM,F,CHEMBL691014
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,1,IC50,=,28.0,nM,F,CHEMBL822598
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,IC50,=,204.0,nM,F,CHEMBL691014
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,1,IC50,=,3730.0,nM,F,CHEMBL691014
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1,IC50,=,7800.0,nM,F,CHEMBL822598
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,IC50,=,18.0,nM,F,CHEMBL691014
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1,IC50,=,191.0,nM,F,CHEMBL822598
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,1,IC50,=,6.5,nM,F,CHEMBL691014
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,IC50,=,21570.0,nM,F,CHEMBL691014
Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,1,IC50,=,7.7,nM,F,CHEMBL691014
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,0,IC50,=,34400.0,nM,F,CHEMBL875385
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,IC50,=,1470.0,nM,F,CHEMBL662311
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,1,IC50,=,162.0,nM,F,CHEMBL691014
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,0,IC50,=,17300.0,nM,F,CHEMBL691014
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1,IC50,=,163.0,nM,F,CHEMBL822598
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,1,IC50,=,350.0,nM,F,CHEMBL691014
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,1,IC50,=,560.0,nM,F,CHEMBL662305
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1,IC50,=,35.7,nM,F,CHEMBL691014
CN(C)CCCN1c2ccccc2CCc2ccccc21,1,IC50,=,3400.0,nM,F,CHEMBL662305
CN1C(=O)[C@H](NC(=O)C(N)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,1,IC50,=,8800.0,nM,F,CHEMBL686879
O=C(Cc1ccc(C(F)(F)F)cc1C(F)(F)F)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,1,IC50,=,6000.0,nM,F,CHEMBL686879
CN1C(=O)[C@H](NC(=O)CCC2CCCCC2)N=C(c2ccccc2)c2ccccc21,1,IC50,=,1000.0,nM,F,CHEMBL686879
