nr,smiles,act
0,c1ccc2c(c1)ccc3c2ccc(c3)[N+](=O)[O-],1
1,c1cc2cccnc2c(c1)[N+](=O)[O-],0
2,c1cc2c(cccn2)c(c1)[N+](=O)[O-],0
3,c1ccc-2c(c1)-c3cccc4c3c2c(cc4)[N+](=O)[O-],1
4,c1cc(c(cc1F)[N+](=O)[O-])F,0
5,c1cc2c(cc(c3c2c4c1c(cc(c4cc3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
6,Cc1cc(ccc1[N+](=O)[O-])c2ccccc2,0
7,CC(=O)Oc1ccc-2c(c1)Cc3c2ccc(c3)[N+](=O)[O-],1
8,C1=CC2=NC=NC2C=C1[N+](=O)[O-],0
9,Cc1ccc-2c(c1)Cc3c2ccc(c3)[N+](=O)[O-],1
10,c1ccc2c(c1)cc(c3c2cccc3)[N+](=O)[O-],1
11,c1cc2ccc(c3c2c4c1ccc(c4cc3)N)[N+](=O)[O-],1
12,c1ccc-2c(c1)-c3ccc(c4c3c2cc(c4)[N+](=O)[O-])[N+](=O)[O-],1
13,C[N+]1=C2C=C(C=CC2C=N1)[N+](=O)[O-],0
14,c1cc2ccc3ccc(c4c3c2c(c1)cc4)[N+](=O)[O-],1
15,c1ccc-2c(c1)-c3ccc(c4c3c2ccc4[N+](=O)[O-])[N+](=O)[O-],1
16,c1cc(c(c(c1)N)[N+](=O)[O-])N,0
17,c1ccc2c(c1)-c3cc(ccc3C2=O)[N+](=O)[O-],1
18,c1cc2cc(ccc2nc1)[N+](=O)[O-],0
19,c1cc-2c(cc1C#N)Cc3c2ccc(c3)[N+](=O)[O-],1
20,c1cc(cc(c1)[N+](=O)[O-])c2ccc(cc2)[N+](=O)[O-],1
21,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)I,1
22,c1ccc2c(c1)ccc3c2cc4cccc5c4c3C=C5[N+](=O)[O-],1
23,c1cc2ccc3ccc4c(cc5ccc6ccc1c7c2c3c4c5c67)[N+](=O)[O-],1
24,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)O,1
25,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Cl,1
26,c1ccc2c(c1)cc3ccc4ccc(c5c4c3c2cc5)[N+](=O)[O-],1
27,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)F,1
28,c1cc-2c(cc1[N+](=O)[O-])C(=O)c3c2c(cc(c3)[N+](=O)[O-])[N+](=O)[O-],1
29,c1ccc2cc3c4cccc5c4c(cc3cc2c1)C=C5[N+](=O)[O-],1
30,c1ccc-2c(c1)-c3cccc4c3c2c(c(c4)[N+](=O)[O-])[N+](=O)[O-],1
31,c1cc(c(cc1c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
32,c1cc-2c(cc1NC(=O)C(F)(F)F)Cc3c2ccc(c3)[N+](=O)[O-],1
33,c1ccc2cc(ccc2c1)[N+](=O)[O-],0
34,c1cc-2c(cc1N)Cc3c2ccc(c3)[N+](=O)[O-],1
35,Cc1cc2ccccc2cc1[N+](=O)[O-],0
36,c1ccc(cc1)C=Cc2ccc(cc2)[N+](=O)[O-],1
37,c1ccc(cc1)c2ccc(cc2)[N+](=O)[O-],0
38,COc1cc2cccnc2c(c1)[N+](=O)[O-],0
39,c1ccc2c(c1)cccc2[N+](=O)[O-],0
40,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)Br,1
41,C[N+]1=CC2C=C(C=CC2=N1)[N+](=O)[O-],0
42,c1ccc-2c(c1)-c3cccc4c3c2cc(c4)[N+](=O)[O-],1
43,c1ccc-2c(c1)CCc3c2ccc(c3)[N+](=O)[O-],1
44,c1cc(ccc1[N+](=O)[O-])[N+](=O)[O-],1
45,c1cc2cc3c(c4c2c5c1ccc(c5cc4)[N+](=O)[O-])CCCC3,1
46,c1c(cc2c-3c1CCc4c3c(cc(c4)[N+](=O)[O-])CC2)[N+](=O)[O-],1
47,c1ccc2cc3cc(ccc3cc2c1)[N+](=O)[O-],1
48,c1cc2c(cc1[N+](=O)[O-])nc3cc(ccc3n2)[N+](=O)[O-],1
49,c1cc2c(cccc2[N+](=O)[O-])c(c1)[N+](=O)[O-],1
50,c1cc2c(ccc3c2c4c1ccc(c4c5c3CCCC5)[N+](=O)[O-])[N+](=O)[O-],1
51,c1cc2ccc3c(cc(c4c3c2c(c1)c5c4CCCC5)[N+](=O)[O-])[N+](=O)[O-],1
52,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)[N+](=O)[O-],1
53,c1cc2c(cc1[N+](=O)[O-])Oc3cc(c(cc3O2)Cl)Cl,1
54,Cc1c2ccccc2ccc1[N+](=O)[O-],0
55,c1ccc2c(c1)nc3ccc(cc3n2)[N+](=O)[O-],1
56,c1cc(ccc1c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
57,c1cc2c3c(ccc4c3c1ccc4[N+](=O)[O-])cc5c2C(C(C=C5)O)O,1
58,c1ccc2c(c1)ccc3c2c4c5c(c3)cccc5C(=C4)[N+](=O)[O-],1
59,c1cc2cc(cc(c2c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
60,c1cc-2c(cc1[N+](=O)[O-])Cc3c2ccc(c3)Cl,1
61,c1cc(c(cc1[N+](=O)[O-])O)N,0
62,c1cc(oc1C=CC(=O)NN=Cc2ccc(o2)[N+](=O)[O-])[N+](=O)[O-],1
63,c1cc-2c(cc1[N+](=O)[O-])C(=O)c3c2ccc(c3)[N+](=O)[O-],1
64,c1ccc2c(c1)cc(cc2[N+](=O)[O-])[N+](=O)[O-],0
65,c1cc(cc(c1)[N+](=O)[O-])c2ccc(cc2)N,0
66,c1ccc-2c(c1)-c3cccc4c3c2c(c(c4)O)[N+](=O)[O-],1
67,c1ccc2c(c1)cc3ccc4c(ccc5c4c3c2cc5)[N+](=O)[O-],1
68,c1cc2c(c(c1)[N+](=O)[O-])-c3ccc(cc3C2)[N+](=O)[O-],1
69,c1cc2c(cc1[N+](=O)[O-])C(=O)C(=O)N2,0
70,c1cc2ccc(c3c2c4c1ccc(c4c5c3CCCC5)[N+](=O)[O-])[N+](=O)[O-],1
71,c1ccc-2c(c1)Cc3c2ccc(c3)[N+](=O)[O-],1
72,c1ccc(c(c1)c2cccc(c2)N)[N+](=O)[O-],0
73,c1cc2cccc-3c2c(c1)-c4c3cc5cc(ccc5c4)[N+](=O)[O-],1
74,c1cc(ccc1c2ccc(cc2)[N+](=O)[O-])[N+](=O)[O-],1
75,c1ccc(c(c1)[N+](=O)[O-])Cl,0
76,c1ccc(c(c1)c2cccc(c2)[N+](=O)[O-])N,0
77,Cc1ccccc1c2ccc(cc2)[N+](=O)[O-],0
78,c1ccc2c(c1)Oc3ccc(cc3O2)[N+](=O)[O-],1
79,c1cc2cccc-3c2c(c1)-c4c3c(ccc4)[N+](=O)[O-],1
80,c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1
81,c1ccc-2c(c1)-c3ccc(c4c3c2c(c(c4)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
82,O=[N+]([O-])c1ccc2[nH]c3ccccc3c2c1,1
83,C=Cc1ccc(cc1)[N+](=O)[O-],0
84,c1ccc2c(c1)cc3c4ccccc4cc5c3c2C=C5[N+](=O)[O-],1
85,c1ccc2cc3c4cccc5c4c(cc3cc2c1)C(=C5)[N+](=O)[O-],1
86,c1ccc2c(c1)c3cc(ccc3o2)[N+](=O)[O-],1
87,CC(=O)c1ccc(cc1)[N+](=O)[O-],0
88,C[N+]1=C2C(C=CC=C2[N+](=O)[O-])C=N1,0
89,c1ccc2c(c1)c3cccc4c3c5c2c(ccc5cc4)[N+](=O)[O-],1
90,c1cc2c3c(cc4c2c5c1ccc(c5cc4)[N+](=O)[O-])C(C(C=C3)O)O,1
91,c1cc2c-3c(c1)CCc4c3c(cc(c4)[N+](=O)[O-])CC2,1
92,c1ccc2c(c1)c3cccc4c3c5c2ccc(c5cc4)[N+](=O)[O-],1
93,c1cc2ccc3cccc4c3c2c(c1)cc4[N+](=O)[O-],1
94,c1cc2cc(c(cc2c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
95,c1cc2c(cc(c3c2c4c1ccc(c4cc3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
96,COc1ccc-2c(c1)Cc3c2ccc(c3)[N+](=O)[O-],1
97,c1cc2cnccc2c(c1)[N+](=O)[O-],0
98,c1cc2cccc3c2c(c1)C=C3[N+](=O)[O-],1
99,c1cc(cc(c1)N)c2cccc(c2)[N+](=O)[O-],0
100,c1cc2ccc3c(ccc4c3c2c(c1)c5c4CCCC5)[N+](=O)[O-],1
101,c1c(cc(c-2c1C(=O)c3c2c(cc(c3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
102,c1cc2ccc3cc(cc4c3c2c(c1)cc4)[N+](=O)[O-],1
103,c1cc2ccc3ccc(c4c3c2c(c1)c5c4CCCC5)[N+](=O)[O-],1
104,c1cc2cc(c3cccnc3c2nc1)[N+](=O)[O-],1
105,c1cc2ccc3ccc(c4c3c2c(c1)cc4O)[N+](=O)[O-],1
106,c1ccc-2c(c1)-c3cc(cc4c3c2cc(c4[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
107,c1ccc-2c(c1)-c3cccc4c3c2ccc4[N+](=O)[O-],1
108,c1cc2ccc3c(ccc4c3c2c5c1ccc6c5c4ccc6[N+](=O)[O-])[N+](=O)[O-],1
109,c1cc(c(c(c1)[N+](=O)[O-])c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
110,c1cc(ccc1C=O)[N+](=O)[O-],0
111,c1cc2ccc(c3c2c(c1)CC3)[N+](=O)[O-],1
112,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])N,0
113,c1ccc(c(c1)c2ccc(cc2)[N+](=O)[O-])N,0
114,c1cc2c(cc1[N+](=O)[O-])C=CC2,1
115,c1cc(ccc1[N+](=O)[O-])F,0
116,c1cc(cc(c1)[N+](=O)[O-])c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],1
117,c1cc2c3c(cc4c2c5c1ccc(c5cc4)[N+](=O)[O-])CCCC3,1
118,c1ccc(c(c1)c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
119,C[N+]1=C2C=CC(=CC2C=N1)[N+](=O)[O-],0
120,c1ccc-2c(c1)-c3cc(cc4c3c2c(c(c4)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
121,c1ccc2c(c1)ccc3c2cc(c4c3cccc4)[N+](=O)[O-],1
122,Cc1ccccc1c2ccc(c(c2)C)[N+](=O)[O-],0
123,c1cc(c(cc1F)F)[N+](=O)[O-],0
124,c1cc2ccc3cc(cc4c3c2c(c1)CC4)[N+](=O)[O-],1
125,c1cc2c(c(c1)[N+](=O)[O-])nc3ccc(cc3n2)[N+](=O)[O-],1
126,c1cc(cc(c1)[N+](=O)[O-])c2ccc(c(c2)[N+](=O)[O-])[N+](=O)[O-],1
127,c1cc2c3c(ccc(c3c1)[N+](=O)[O-])C=C2,1
128,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NN,0
129,COc1ccccc1[N+](=O)[O-],0
130,c1ccc(cc1)C=CC(=O)c2ccc(cc2)[N+](=O)[O-],0
131,c1ccc(c(c1)C=O)[N+](=O)[O-],0
132,c1c2c(cc(c1Cl)Cl)Oc3c(cc(c(c3Cl)[N+](=O)[O-])Cl)O2,0
133,c1cc2cc(cc3c2c4c1cc(cc4CC3)[N+](=O)[O-])[N+](=O)[O-],1
134,c1cc(c(cc1[N+](=O)[O-])Cl)F,0
135,c1cc2ccc3c(cc(c4c3c2c(c1)cc4)O)[N+](=O)[O-],1
136,c1ccc-2c(c1)-c3cccc4c3c2cc(c4[N+](=O)[O-])[N+](=O)[O-],1
137,C[N+]1=NC2C=C(C=CC2=C1)[N+](=O)[O-],0
138,c1cc(c(cc1Cl)[N+](=O)[O-])N,0
139,c1cc2cccc(c2c(c1)[N+](=O)[O-])[N+](=O)[O-],1
140,c1cc(c(c(c1)Cl)Cl)[N+](=O)[O-],0
141,c1c(c(cc2c1Oc3cc(c(cc3O2)Cl)Cl)Cl)[N+](=O)[O-],0
142,CCOc1ccccc1[N+](=O)[O-],0
143,c1cc(c(cc1Cl)[N+](=O)[O-])Cl,0
144,c1cc(cc(c1)N)c2ccc(cc2)[N+](=O)[O-],1
145,c1cc(ccc1c2ccc(cc2)[N+](=O)[O-])N,1
146,CC1=NC2C=C(C=CC2=N1)[N+](=O)[O-],0
147,c1cc2ccc(c3c2c(c1)C=C3)[N+](=O)[O-],1
148,c1cc2c(cc1[N+](=O)[O-])nc3ccc(cc3n2)[N+](=O)[O-],1
149,CC1=NCC(=[N+]1CCO)[N+](=O)[O-],0
150,C1=CC2C=NN=C2C(=C1)[N+](=O)[O-],1
151,c1ccc-2c(c1)-c3cc(cc4c3c2cc(c4)[N+](=O)[O-])[N+](=O)[O-],1
152,c1cc2c3c(ccc(c3c1)[N+](=O)[O-])CC2,1
153,C1=CC2C(=NC(=N2)[N+](=O)[O-])C=C1,0
154,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],0
155,c1cc2c(cc1[N+](=O)[O-])NCC2,0
156,c1cc2c(ccc3c2c4c1ccc(c4cc3)O)[N+](=O)[O-],1
157,CC(=O)Nc1ccc-2c(c1)Cc3c2ccc(c3)[N+](=O)[O-],1
158,c1cc2ccc(c3c2c4c1ccc(c4cc3)[N+](=O)[O-])O,1
159,c1c(cc(c(c1[N+](=O)[O-])N)Br)[N+](=O)[O-],0
160,c1ccc2c(c1)c3ccc(c4c3c5c2c(ccc5cc4)[N+](=O)[O-])[N+](=O)[O-],1
161,c1cc(c(cc1c2ccc(c(c2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
162,c1cc2cc(cc3c2c4c1cc(cc4cc3)[N+](=O)[O-])[N+](=O)[O-],1
163,c1cc2ccc3c(cc(c4c3c2c(c1)cc4)[N+](=O)[O-])[N+](=O)[O-],1
164,c1cc2cccc-3c2c(c1)-c4c3cc(cc4)[N+](=O)[O-],1
165,CC(=O)Oc1cc(c2ccc3cccc4c3c2c1cc4)[N+](=O)[O-],1
166,c1cc2c(ccc3c2c4c1ccc(c4cc3)[N+](=O)[O-])[N+](=O)[O-],1
167,COc1ccc(cc1)[N+](=O)[O-],0
168,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])F,1
169,c1ccc2c(c1)nc3cccc(c3n2)[N+](=O)[O-],1
170,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],1
171,C1=CC(=CC2=NN=CC21)[N+](=O)[O-],1
172,c1cc(ccc1c2ccc(c(c2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
173,c1cc2c(ccc-3c2c(c1)-c4c3cc(cc4)[N+](=O)[O-])[N+](=O)[O-],1
174,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)[N+](=O)[O-])Cl)O2,0
175,c1cc2c(cc1[N+](=O)[O-])CC=C2,1
176,c1cc2c(c(c1)[N+](=O)[O-])nc3c(n2)cccc3[N+](=O)[O-],1
177,C[N+]1=NC2C(=C1)C=CC=C2[N+](=O)[O-],1
178,c1cc(ccc1C=CC(=O)c2ccc(cc2)[N+](=O)[O-])[N+](=O)[O-],0
179,c1cc2ccc3c(ccc4c3c2c5c1ccc6c5c4c(cc6)[N+](=O)[O-])[N+](=O)[O-],1
180,c1cc(c(cc1N)[N+](=O)[O-])N,0
