nr,chemical_name,smiles,Reference,act
0,Succinimide,O=C1NC(=O)CC1,"Evason, K. et al., 2005. Anticonvulsant medications extend worm life-span. Science (New York, N.Y.), 307(5707), pp.258–262.",0
1,Flurazepam dihydrochloride,Clc1cc2c(N(CCN(CC)CC)C(=O)CN=C2c2ccccc2F)cc1,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
2,Betamethasone 17-valerate,FC12[C@@H]([C@@H]3C[C@H](C)C(OC(=O)CCCC)(C(=O)CO)C3(C[C@H]1O)C)CCC1=CC(=O)C=CC12C,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
3,Liothyronine sodium salt,Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@@H](N)C(O)=O,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
4,Nadolol,O(C[C@H](O)CNC(C)(C)C)c1c2C[C@@H](O)[C@@H](O)Cc2ccc1,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
5,Dehydroisoandrosterone,O=C1CC[C@H]2[C@H]3[C@@H](CCC12C)C1(C(C[C@H](O)CC1)=CC3)C,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
6,Prednisone,OC1(CC[C@H]2[C@H]3[C@H](C4(C(=CC(=O)C=C4)CC3)C)C(=O)CC12C)C(=O)CO,"Kornfeld, K. & Evason, K., 2006. Effects of anticonvulsant drugs on life span. Archives of neurology, 63(4), pp.491–496.",0
7,Amprolium,[n+]1(ccccc1C)Cc1cnc(nc1N)CCC,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
8,Bithionol,Clc1cc(Cl)cc(Sc2cc(Cl)cc(Cl)c2O)c1O,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
9,Dihydrojasmonic acid,O=C1CC[C@H](CC(O)=O)[C@H]1CCCCC,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
10,Antipyrine,O=C1N(N(C)C(=C1)C)c1ccccc1,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
11,Piperine,O1c2cc(ccc2OC1)\C=C\C=C\C(=O)N1CCCCC1,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
12,Aesculin,O1c2cc(O)c(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@@H]3O)cc2C=CC1=O,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
13,Potassium p-aminobenzoate,OC(=O)c1ccc(N)cc1,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
14,Fenbufen,OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
15,Sodium p-aminosalicylate,Oc1cc(N)ccc1C(O)=O,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
16,Busulfan,S(OCCCCOS(=O)(=O)C)(=O)(=O)C,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
17,Prothionamide,S=C(N)c1cc(ncc1)CCC,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
18,2-Thiouracil,S=C1NC(=O)C=CN1,"Lublin, A. et al., 2011. FDA-approved drugs that protect mammalian neurons from glucose toxicity slow aging dependent on cbp and protect against proteotoxicity. PloS one, 6(11), p.e27762.",0
19,"N,N,N-trimethyl-1-(4-trans-stilbenoxy)-2-propylammonium iodide",O(C[C@H]([N+](C)(C)C)C)c1ccc(cc1)\C=C\c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
20,(±)-threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol hydrochloride,O1CCN(CC1)C[C@@H](NC(=O)CCCCCCCCC)[C@H](O)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
21,4-Chloromercuribenzoic acid,[Hg](Cl)c1ccc(cc1)C(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
22,Tetraethylammonium chloride,[N+](CC)(CC)(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
23,Decamethonium dibromide,[N+](CCCCCCCCCC[N+](C)(C)C)(C)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
